ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
27282,01/01/2023 01:37:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,231,2.0,20.0,41.792155669,-87.619157821
27283,01/01/2023 04:40:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1531,15.0,37.0,41.894008903,-87.751434582
27280,01/01/2023 04:56:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,915,9.0,11.0,41.824367732,-87.641081186
12938558,01/01/2023 05:00:00 AM,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,True,812,8.0,13.0,41.775021781,-87.777279525
27279,01/01/2023 05:54:00 AM,HOMICIDE,FIRST DEGREE MURDER,TAVERN,True,False,1212,12.0,1.0,41.903131319,-87.68058344
27281,01/01/2023 09:46:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,512,5.0,34.0,41.700477811,-87.623329654
13224789,01/01/2023 10:30:00 AM,THEFT,OVER $500,STREET,False,False,512,5.0,9.0,41.703354066,-87.59419968
12938772,01/01/2023 12:00:00 AM,CRIMINAL SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,False,733,7.0,17.0,41.760645062,-87.651574764
13223672,01/01/2023 12:00:00 AM,DECEPTIVE PRACTICE,EMBEZZLEMENT,APARTMENT,False,False,1214,12.0,27.0,41.887136371,-87.655685196
13222722,01/01/2023 12:00:00 AM,THEFT,OVER $500,APARTMENT,False,False,2023,20.0,48.0,41.976851852,-87.654999693
12976707,01/01/2023 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2233,22.0,21.0,41.69336365,-87.634381248
13230245,01/01/2023 12:00:00 AM,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,511,5.0,9.0,,
13140855,01/01/2023 12:00:00 AM,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,414,4.0,8.0,41.745738706,-87.57588269
13219589,01/01/2023 12:01:00 AM,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,1422,14.0,26.0,41.913078836,-87.710160526
13215790,01/01/2023 12:01:00 AM,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,HOSPITAL BUILDING / GROUNDS,False,False,1834,18.0,2.0,41.895003278,-87.62152816
27286,01/02/2023 01:02:00 PM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,735,7.0,17.0,41.760453013,-87.674634948
27321,01/02/2023 07:00:00 AM,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1914,19.0,46.0,41.964522471,-87.656913808
13211222,01/02/2023 12:00:00 PM,THEFT,FROM BUILDING,APARTMENT,False,False,1033,10.0,25.0,41.845802079,-87.703844257
27284,01/03/2023 03:03:00 AM,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,True,False,724,7.0,16.0,41.779618399,-87.653767961
12942557,01/04/2023 02:40:00 AM,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1811,18.0,32.0,41.922086963,-87.665056595
13224619,01/04/2023 03:45:00 PM,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,False,False,1654,16.0,41.0,41.994913946,-87.881937669
12942214,01/04/2023 04:00:00 PM,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,225,2.0,20.0,41.795991039,-87.630542489
